zip,count
95356,198
95357,57
95358,113
95354,134
95355,351
95350,270
95351,163
46385,156
46383,155
46381,2
46382,4
95345,2
95346,19
46376,2
46377,2
95348,174
95341,100
95340,180
46374,2
46375,96
46373,102
46371,14
46368,149
95379,15
46365,4
46366,15
95374,1
95375,2
95376,283
95377,242
95370,110
95372,14
46361,1
46360,149
46356,69
95367,130
95368,83
95369,3
95363,131
95365,8
95366,143
95360,71
95361,183
46350,153
46349,14
46347,15
46348,2
46345,2
46346,3
95391,189
46341,38
46342,134
46340,7
95389,13
95386,40
95387,1
95388,51
95382,201
95383,49
95380,156
97913,9
73945,6
97914,29
73942,29
85928,7
85929,45
85927,4
58316,4
61957,3
85935,33
85936,11
58318,9
85933,21
85934,1
85931,1
85932,3
73938,2
97907,5
97901,1
73951,4
73950,4
85924,9
85925,19
58329,3
85923,3
85920,7
58324,3
73949,3
71303,41
71301,58
71302,35
58330,1
58332,1
71316,1
58341,5
85939,12
85937,34
85938,6
58348,1
58345,1
58344,3
85940,5
58346,1
85941,2
97918,5
71327,7
71328,15
71325,2
71323,2
71322,12
58352,1
83316,19
83318,27
58356,3
83311,2
83314,1
83313,6
71336,5
71334,9
71333,1
71331,2
58367,4
83301,107
58366,2
58369,3
58368,6
95316,31
95317,1
95318,1
71346,8
95313,3
71343,15
95315,35
58374,1
71341,8
71342,19
95310,11
71340,1
95311,22
58370,1
83338,46
83334,9
83333,11
83336,5
83335,4
83330,12
83332,7
95306,5
71358,2
95307,167
71356,1
95301,178
71357,8
71354,4
95303,2
71355,6
95304,55
58385,1
58384,1
71353,4
71350,14
71351,27
58381,3
58380,1
83327,5
83328,13
83323,3
83325,4
83321,1
22514,8
22511,5
10536,19
10535,1
10538,31
10537,2
10530,26
10532,6
10533,11
22520,13
10547,11
10546,6
10549,17
10548,7
10541,49
10543,32
10514,23
10516,5
10517,2
10510,25
10512,49
10511,8
22503,15
22508,66
58503,77
10524,12
10527,2
10526,3
58504,51
10528,21
58501,56
10520,25
10523,18
10522,13
10502,13
10505,3
10504,15
10507,9
58521,1
10506,15
10509,42
